# Метеостанция Москва (центр, Балчуг), Россия, WMO_ID=27605, выборка с 01.06.2019 по 13.04.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27605&lang=ru
#
"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.04.2020 06:00";"1.8";"748.7";"760.4";"";"71";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"1.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-3.0";"Осадков нет";"12";"";"";"";"";
"11.04.2020 03:00";"2.7";"748.9";"760.5";"";"68";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.7";"";"";"";"";"";"";
"11.04.2020 00:00";"3.9";"749.2";"760.7";"";"68";"Ветер, дующий с западо-северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-1.6";"";"";"";"";"";"";
"10.04.2020 21:00";"6.1";"748.7";"760.2";"";"51";"Ветер, дующий с западо-северо-запада";"2";"";"";"50%.";" ";"";"";"";"9.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.5";"0.3";"12";"";"";"";"";
"10.04.2020 18:00";"8.1";"747.7";"759.1";"";"38";"Ветер, дующий с западо-северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.5";"0.3";"12";"";"";"";"";
"10.04.2020 15:00";"8.9";"747.2";"758.5";"";"37";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"60%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.2";"";"";"";"";"";"";
"10.04.2020 12:00";"7.9";"746.2";"757.6";"";"50";"Ветер, дующий с северо-запада";"3";"";"10";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.1";"";"";"";"";"";"";
"10.04.2020 09:00";"5.8";"745.1";"756.5";"";"67";"Ветер, дующий с северо-запада";"3";"";"10";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Дождь.";"5.4";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.0";"0.8";"12";"Поверхность почвы влажная.";"5.0";"";"";
"10.04.2020 06:00";"7.0";"742.9";"754.3";"";"80";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.7";"0.3";"12";"";"";"";"";
"10.04.2020 03:00";"10.8";"742.0";"753.1";"";"57";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"2.5";"";"";"";"";"";"";
"10.04.2020 00:00";"12.2";"743.1";"754.2";"";"44";"Штиль, безветрие";"0";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"0.2";"";"";"";"";"";"";
"09.04.2020 21:00";"13.2";"744.5";"755.6";"";"31";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"16.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-3.6";"Осадков нет";"12";"";"";"";"";
"09.04.2020 18:00";"15.2";"745.7";"756.7";"";"30";"Ветер, дующий с западо-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-2.4";"Осадков нет";"12";"";"";"";"";
"09.04.2020 15:00";"15.2";"747.9";"758.9";"";"28";"Ветер, дующий с западо-северо-запада";"2";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-3.4";"";"";"";"";"";"";
"09.04.2020 12:00";"13.6";"750.1";"761.3";"";"33";"Ветер, дующий с западо-северо-запада";"3";"10";"10";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-2.6";"";"";"";"";"";"";
"09.04.2020 09:00";"8.4";"751.8";"763.2";"";"58";"Ветер, дующий с западо-северо-запада";"1";"";"";"40%.";" ";"";"";"4.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"0.5";"Осадков нет";"12";"Поверхность почвы влажная.";"-1.0";"";"";
"09.04.2020 06:00";"4.2";"752.3";"763.9";"";"78";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"4.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"0.7";"Осадков нет";"12";"";"";"";"";
"09.04.2020 03:00";"5.9";"752.9";"764.5";"";"71";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.0";"";"";"";"";"";"";
"09.04.2020 00:00";"7.6";"753.1";"764.5";"";"65";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"1.4";"";"";"";"";"";"";
"08.04.2020 21:00";"9.6";"753.0";"764.4";"";"57";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"12.7";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.4";"0.4";"12";"";"";"";"";
"08.04.2020 18:00";"11.7";"751.8";"763.0";"";"57";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"";"";"10.0";"3.3";"0.4";"12";"";"";"";"";
"08.04.2020 15:00";"12.6";"751.1";"762.4";"";"58";"Ветер, дующий с западо-северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.4";"";"";"";"";"";"";
"08.04.2020 12:00";"12.2";"750.0";"761.2";"";"40";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-1.0";"";"";"";"";"";"";
"08.04.2020 09:00";"9.2";"749.3";"760.6";"";"37";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"7.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-5.0";"Осадков нет";"12";"Поверхность почвы влажная.";"-1.0";"";"";
"08.04.2020 06:00";"7.2";"750.1";"761.5";"";"44";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"7.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-4.5";"Осадков нет";"12";"";"";"";"";
"08.04.2020 03:00";"8.4";"752.6";"764.0";"";"44";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-3.4";"";"";"";"";"";"";
"08.04.2020 00:00";"8.7";"755.2";"766.7";"";"48";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.9";"";"";"";"";"";"";
"07.04.2020 21:00";"8.3";"757.3";"768.9";"";"45";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"10.6";"";"";"";"";"";"10.0";"-2.9";"Осадков нет";"12";"";"";"";"";
"07.04.2020 18:00";"10.4";"759.7";"771.1";"";"38";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-3.5";"Осадков нет";"12";"";"";"";"";
"07.04.2020 15:00";"8.5";"762.5";"774.1";"";"34";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"-6.7";"";"";"";"";"";"";
"07.04.2020 12:00";"5.6";"764.6";"776.3";"";"30";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-10.7";"";"";"";"";"";"";
"07.04.2020 09:00";"3.0";"766.0";"777.8";"";"28";"Ветер, дующий с западо-северо-запада";"1";"";"";"40%.";" ";"";"";"-1.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-13.9";"Осадков нет";"12";"Поверхность почвы замерзшая.";"-4.0";"";"";
"07.04.2020 06:00";"-0.7";"765.7";"777.7";"";"44";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-1.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"10.0";"-11.6";"Осадков нет";"12";"";"";"";"";
"07.04.2020 03:00";"-0.5";"765.1";"777.1";"";"44";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-11.5";"";"";"";"";"";"";
"07.04.2020 00:00";"1.6";"764.1";"775.9";"";"33";"Ветер, дующий с востоко-северо-востока";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-13.2";"";"";"";"";"";"";
"06.04.2020 21:00";"2.9";"762.9";"774.7";"";"36";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"4.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.0";"Осадков нет";"12";"";"";"";"";
"06.04.2020 18:00";"3.5";"762.4";"774.1";"";"33";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-11.4";"Осадков нет";"12";"";"";"";"";
"06.04.2020 15:00";"4.2";"762.0";"773.7";"";"26";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-13.6";"";"";"";"";"";"";
"06.04.2020 12:00";"3.3";"762.2";"774.0";"";"27";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-14.0";"";"";"";"";"";"";
"06.04.2020 09:00";"1.1";"761.8";"773.6";"";"41";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"-0.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.8";"Осадков нет";"12";"Поверхность почвы влажная.";"-3.0";"";"";
"06.04.2020 06:00";"-0.7";"760.7";"772.6";"";"42";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-0.7";"";"";"";"";"";"";"10.0";"-12.1";"Осадков нет";"12";"";"";"";"";
"06.04.2020 03:00";"-0.1";"759.5";"771.4";"";"47";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-10.2";"";"";"";"";"";"";
"06.04.2020 00:00";"0.9";"758.5";"770.4";"";"47";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-9.2";"";"";"";"";"";"";
"05.04.2020 21:00";"1.8";"758.2";"769.9";"";"43";"Ветер, дующий с западо-северо-запада";"2";"";"12";"Облаков нет.";" ";"";"";"";"5.8";"";"";"";"";"";"10.0";"-9.6";"0.1";"12";"";"";"";"";
"05.04.2020 18:00";"3.7";"756.7";"768.4";"";"37";"Ветер, дующий с северо-северо-запада";"2";"";"11";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-9.7";"0.1";"12";"";"";"";"";
"05.04.2020 15:00";"5.2";"755.5";"767.0";"";"32";"Ветер, дующий с северо-запада";"3";"";"14";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.1";"";"";"";"";"";"";
"05.04.2020 12:00";"4.7";"754.9";"766.6";"";"51";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"";"";"10.0";"-4.8";"";"";"";"";"";"";
"05.04.2020 09:00";"2.2";"755.2";"766.9";"";"63";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"1.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-4.2";"Осадков нет";"12";"Поверхность почвы влажная.";"-2.0";"";"";
"05.04.2020 06:00";"1.1";"754.7";"766.5";"";"68";"Ветер, дующий с запада";"1";"";"";"40%.";" ";"";"";"1.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-4.2";"Осадков нет";"12";"";"";"";"";
"05.04.2020 03:00";"1.5";"754.9";"766.6";"";"62";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.0";"";"";"";"";"";"";
"05.04.2020 00:00";"3.2";"754.3";"766.0";"";"50";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.3";"";"";"";"";"";"";
