# Метеостанция Остафьево (аэропорт), Россия, METAR=UUMO, выборка с 01.05.2019 по 09.09.2019, все дни
# Кодировка: Unicode
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUMO&lang=ru
#
"Местное время в Остафьево (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"08.09.2019 13:30";"22.0";"755.9";"771.1";"53";"Ветер, дующий с северо-востока";"2";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"12.0";
"08.09.2019 13:00";"22.0";"755.9";"771.1";"57";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"13.0";
"08.09.2019 12:30";"21.0";"755.9";"771.1";"57";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"12.0";
"08.09.2019 12:00";"21.0";"755.9";"771.1";"60";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"13.0";
"08.09.2019 11:30";"20.0";"755.8";"771.1";"64";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"13.0";
"08.09.2019 11:00";"20.0";"755.8";"771.1";"64";"Ветер, дующий с северо-востока";"3";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"13.0";
"08.09.2019 10:30";"20.0";"755.8";"771.1";"69";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"08.09.2019 10:00";"20.0";"755.8";"771.1";"69";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"08.09.2019 09:30";"19.0";"755.7";"771.1";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"08.09.2019 09:00";"18.0";"755.7";"771.1";"83";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"08.09.2019 08:30";"16.0";"755.6";"771.1";"94";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"08.09.2019 08:00";"15.0";"755.5";"771.1";"100";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"08.09.2019 07:30";"13.0";"755.4";"771.1";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"08.09.2019 07:00";"11.0";"755.3";"771.1";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"8.0";"11.0";
"08.09.2019 06:30";"11.0";"754.6";"770.4";"100";"Переменное направление";"1";"";"Поземный туман, дымка";"";"Нет существенной облачности";"5.0";"11.0";
"07.09.2019 20:30";"17.0";"753.5";"768.9";"77";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"07.09.2019 20:00";"17.0";"753.5";"768.9";"83";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 19:30";"17.0";"753.5";"768.9";"77";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"07.09.2019 19:00";"19.0";"752.8";"768.1";"73";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 18:30";"20.0";"752.9";"768.1";"64";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"07.09.2019 18:00";"20.0";"752.9";"768.1";"60";"Ветер, дующий с севера";"3";"";"";"";"Незначительная (10-30%) 1380 м, рассеянная (40-50%) 3000 м";"10.0 и более";"12.0";
"07.09.2019 17:30";"21.0";"752.9";"768.1";"60";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"13.0";
"07.09.2019 17:00";"21.0";"752.9";"768.1";"60";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"13.0";
"07.09.2019 16:30";"22.0";"752.2";"767.3";"53";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"12.0";
"07.09.2019 16:00";"22.0";"752.2";"767.3";"53";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"12.0";
"07.09.2019 15:30";"22.0";"752.2";"767.3";"50";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"11.0";
"07.09.2019 15:00";"23.0";"752.2";"767.3";"53";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"13.0";
"07.09.2019 14:30";"21.0";"752.1";"767.3";"60";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"13.0";
"07.09.2019 14:00";"23.0";"752.2";"767.3";"53";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"13.0";
"07.09.2019 13:30";"23.0";"752.2";"767.3";"53";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"13.0";
"07.09.2019 13:00";"23.0";"752.2";"767.3";"50";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"12.0";
"07.09.2019 12:30";"22.0";"752.2";"767.3";"53";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"12.0";
"07.09.2019 12:00";"22.0";"752.2";"767.3";"50";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1080 м";"10.0 и более";"11.0";
"07.09.2019 11:30";"21.0";"752.1";"767.3";"60";"Ветер, дующий с северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1080 м";"10.0 и более";"13.0";
"07.09.2019 11:00";"21.0";"752.1";"767.3";"60";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"13.0";
"07.09.2019 10:30";"21.0";"752.1";"767.3";"64";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 10:00";"20.0";"752.1";"767.3";"69";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 09:30";"19.0";"752.0";"767.3";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 09:00";"18.0";"751.3";"766.6";"78";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 08:30";"16.0";"751.2";"766.6";"88";"Ветер, дующий с северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"07.09.2019 08:00";"15.0";"751.1";"766.6";"100";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"07.09.2019 07:30";"14.0";"751.1";"766.6";"100";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"9.0";"14.0";
"07.09.2019 07:00";"12.0";"751.0";"766.6";"100";"Ветер, дующий с запада";"2";"";"Дымка";"";"Разорванная (60-90%) 1260 м";"1.2";"12.0";
"07.09.2019 06:30";"12.0";"751.0";"766.6";"100";"Ветер, дующий с западо-юго-запада";"1";"";"Дымка";"";"Разорванная (60-90%) 1260 м";"1.2";"12.0";
"07.09.2019 06:00";"12.0";"751.0";"766.6";"100";"Ветер, дующий с запада";"2";"";"Дымка";"";"Разорванная (60-90%) 1260 м";"1.2";"12.0";
"07.09.2019 05:30";"12.0";"751.0";"766.6";"100";"Штиль, безветрие";"0";"";"Туман";"";"Вертикальная видимость 90 м";"0.5";"12.0";
"07.09.2019 05:00";"13.0";"750.2";"765.8";"100";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"1.2";"13.0";
"07.09.2019 04:30";"13.0";"750.2";"765.8";"100";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.0";"13.0";
"07.09.2019 04:00";"13.0";"750.2";"765.8";"100";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.0";"13.0";
"07.09.2019 00:30";"15.0";"749.6";"765.0";"100";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"15.0";
"07.09.2019 00:00";"15.0";"749.6";"765.0";"100";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"9.0";"15.0";
"06.09.2019 23:30";"15.0";"749.6";"765.0";"100";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1380 м";"8.0";"15.0";
"06.09.2019 23:00";"15.0";"749.6";"765.0";"100";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"8.0";"15.0";
"06.09.2019 22:30";"15.0";"748.9";"764.3";"100";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"8.0";"15.0";
"06.09.2019 22:00";"14.0";"748.8";"764.3";"100";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1200 м";"8.0";"14.0";
"06.09.2019 21:30";"14.0";"748.8";"764.3";"100";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 900 м";"8.0";"14.0";
"06.09.2019 21:00";"15.0";"748.9";"764.3";"100";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"15.0";
"06.09.2019 20:30";"16.0";"748.9";"764.3";"94";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"15.0";
"06.09.2019 20:00";"17.0";"749.0";"764.3";"88";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"15.0";
"06.09.2019 19:30";"18.0";"749.0";"764.3";"83";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"15.0";
"06.09.2019 19:00";"18.0";"749.0";"764.3";"83";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"15.0";
"06.09.2019 18:30";"19.0";"748.3";"763.5";"83";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"16.0";
"06.09.2019 18:00";"20.0";"748.3";"763.5";"78";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"16.0";
"06.09.2019 17:30";"20.0";"748.3";"763.5";"73";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"15.0";
"06.09.2019 17:00";"22.0";"748.5";"763.5";"61";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"14.0";
"06.09.2019 16:30";"22.0";"747.8";"762.8";"61";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 16:00";"22.0";"748.5";"763.5";"61";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 15:30";"22.0";"747.8";"762.8";"61";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 15:00";"23.0";"747.8";"762.8";"61";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"15.0";
"06.09.2019 14:30";"22.0";"747.8";"762.8";"61";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"14.0";
"06.09.2019 14:00";"23.0";"747.8";"762.8";"61";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"06.09.2019 13:30";"23.0";"747.8";"762.8";"57";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 13:00";"22.0";"747.8";"762.8";"57";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 12:30";"21.0";"747.7";"762.8";"57";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"06.09.2019 12:00";"21.0";"747.7";"762.8";"60";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 11:30";"21.0";"747.7";"762.8";"60";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 11:00";"19.0";"747.6";"762.8";"64";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"06.09.2019 10:30";"20.0";"747.7";"762.8";"60";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"06.09.2019 10:00";"19.0";"747.6";"762.8";"68";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 09:30";"18.0";"747.6";"762.8";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 09:00";"17.0";"747.5";"762.8";"77";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"06.09.2019 08:30";"17.0";"747.5";"762.8";"83";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 08:00";"15.0";"747.4";"762.8";"94";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 07:30";"15.0";"747.4";"762.8";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"8.0";"15.0";
"06.09.2019 07:00";"13.0";"747.3";"762.8";"100";"Ветер, дующий с северо-востока";"1";"";"";"";"Нет существенной облачности";"8.0";"13.0";
"06.09.2019 06:30";"12.0";"747.2";"762.8";"100";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";"Нет существенной облачности";"6.0";"12.0";
"06.09.2019 06:00";"12.0";"747.2";"762.8";"100";"Ветер, дующий с востоко-северо-востока";"1";"";"Дымка";"";"Нет существенной облачности";"5.0";"12.0";
"06.09.2019 01:30";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 01:00";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 00:30";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"06.09.2019 00:00";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 23:30";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 23:00";"15.0";"747.4";"762.8";"94";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 22:30";"14.0";"747.4";"762.8";"100";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 22:00";"14.0";"748.0";"763.5";"100";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 21:30";"14.0";"748.0";"763.5";"100";"Ветер, дующий с северо-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 21:00";"15.0";"748.1";"763.5";"94";"Ветер, дующий с востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 20:30";"15.0";"748.1";"763.5";"94";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 20:00";"16.0";"748.1";"763.5";"88";"Ветер, дующий с востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"05.09.2019 19:30";"15.0";"748.1";"763.5";"88";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"05.09.2019 19:00";"16.0";"747.5";"762.8";"83";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"05.09.2019 18:30";"17.0";"747.5";"762.8";"88";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"05.09.2019 18:00";"17.0";"747.5";"762.8";"88";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"15.0";
"05.09.2019 17:30";"17.0";"747.5";"762.8";"94";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"16.0";
"05.09.2019 17:00";"18.0";"747.6";"762.8";"83";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"15.0";
"05.09.2019 16:30";"18.0";"747.6";"762.8";"83";"Ветер, дующий с востока";"2";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"15.0";
"05.09.2019 16:00";"18.0";"747.6";"762.8";"83";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"15.0";
"05.09.2019 15:30";"18.0";"747.6";"762.8";"88";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"16.0";
